MX,size,channels,s,s/channel
MX1,32,16,4.8046875E-4,3.0029296875E-5
MX1,32,32,5.1904296875E-4,1.62200927734375E-5
MX1,32,64,5.64453125E-4,8.819580078125E-6
MX1,32,128,6.5625E-4,5.126953125E-6
MX1,32,256,9.2333984375E-4,3.606796264648438E-6
MX1,32,512,0.0013876953125,2.710342407226563E-6
MX1,64,16,0.001953125,1.220703125E-4
MX1,64,32,0.002044921875,6.390380859375E-5
MX1,64,64,0.002275390625,3.5552978515625E-5
MX1,64,128,0.0029296875,2.288818359375E-5
MX1,64,256,0.0036328125,1.4190673828125E-5
MX1,64,512,0.00573828125,1.120758056640625E-5
MX1,128,16,0.0079453125,4.9658203125E-4
MX1,128,32,0.008546875,2.6708984375E-4
MX1,128,64,0.009765625,1.52587890625E-4
MX1,128,128,0.0108671875,8.489990234375E-5
MX1,128,256,0.015625,6.103515625E-5
MX1,128,512,0.023203125,4.5318603515625E-5
MX1,256,16,0.03175,0.001984375
MX1,256,32,0.03321875,0.0010380859375
MX1,256,64,0.03809375,5.9521484375E-4
MX1,256,128,0.04640625,3.62548828125E-4
MX1,256,256,0.0634375,2.47802734375E-4
MX1,256,512,0.09525,1.8603515625E-4
MX1,512,16,0.1485,0.00928125
MX1,512,32,0.166,0.0051875
MX1,512,64,0.1825,0.0028515625
MX1,512,128,0.207,0.0016171875
MX1,512,256,0.293,0.00114453125
MX1,512,512,0.4025,7.861328125E-4
MX7,32,16,4.8828125E-4,3.0517578125E-5
MX7,32,32,5E-4,1.5625E-5
MX7,32,64,5.72265625E-4,8.941650390625E-6
MX7,32,128,6.8701171875E-4,5.367279052734375E-6
MX7,32,256,9.6142578125E-4,3.755569458007813E-6
MX7,32,512,0.0016025390625,3.129959106445313E-6
MX7,64,16,0.00176953125,1.10595703125E-4
MX7,64,32,0.001921875,6.005859375E-5
MX7,64,64,0.0022890625,3.57666015625E-5
MX7,64,128,0.0029296875,2.288818359375E-5
MX7,64,256,0.0042734375,1.6693115234375E-5
MX7,64,512,0.00714453125,1.395416259765625E-5
MX7,128,16,0.00708203125,4.42626953125E-4
MX7,128,32,0.0079375,2.48046875E-4
MX7,128,64,0.009765625,1.52587890625E-4
MX7,128,128,0.012578125,9.82666015625E-5
MX7,128,256,0.017578125,6.866455078125E-5
MX7,128,512,0.029046875,5.6732177734375E-5
MX7,256,16,0.03125,0.001953125
MX7,256,32,0.03321875,0.0010380859375
MX7,256,64,0.0395625,6.181640625E-4
MX7,256,128,0.0498125,3.8916015625E-4
MX7,256,256,0.0723125,2.82470703125E-4
MX7,256,512,0.11425,2.2314453125E-4
MX7,512,16,0.1240625,0.00775390625
MX7,512,32,0.136625,0.00426953125
MX7,512,64,0.16025,0.00250390625
MX7,512,128,0.19725,0.001541015625
MX7,512,256,0.30475,0.0011904296875
MX7,512,512,0.47275,9.2333984375E-4
